Industry,Price,Demand_Index,Seasonality,Competitor_Price,Customer_Segment,Discount_Offered,Purchase_Prob,Purchased
Hospitality,250,0.64,0.85,250,High,10,0.03977773333333332,0
Airline,150,0.32,1.0,300,High,15,0.031326,0
Ecommerce,250,0.47,1.15,100,High,5,0.02165152916666666,0
FoodDelivery,150,0.21,1.15,200,Low,15,0.058246781250000004,0
Retail,250,0.41,1.0,100,High,15,0.020068218749999995,0
FoodDelivery,300,0.8,0.85,100,Low,15,0.01,0
Airline,300,0.8,0.85,100,Medium,10,0.01,0
Retail,100,0.12,1.0,50,Medium,20,0.03540000000000001,0
Retail,300,0.68,1.0,200,Medium,5,0.01,0
Airline,250,0.12,1.0,250,Medium,15,0.01,0
Airline,50,0.46,1.0,100,High,20,0.1300458333333333,1
FoodDelivery,150,0.91,1.0,150,Medium,15,0.30985500000000005,0
FoodDelivery,100,0.92,1.0,250,Medium,5,0.19228,0
Airline,200,0.96,0.85,150,Low,15,0.06560300000000001,0
FoodDelivery,250,0.85,1.15,200,Low,10,0.07547114583333332,0
Hospitality,300,0.53,1.15,300,Medium,20,0.01,0
Airline,200,0.59,1.15,150,High,0,0.06502291666666667,0
FoodDelivery,150,0.4,1.0,100,Low,0,0.08500000000000002,1
Retail,50,0.55,1.15,100,Low,10,0.18312851562500007,0
FoodDelivery,200,0.73,1.0,300,Medium,15,0.11047333333333335,0
RideHailing,150,0.93,0.85,50,Medium,0,0.14492500000000005,0
RideHailing,300,0.96,1.15,250,Low,20,0.01,0
Ecommerce,50,0.91,1.15,150,Medium,0,0.2325555555555556,0
Airline,50,0.26,0.85,300,Medium,20,0.0325975,0
Hospitality,100,0.48,0.85,100,High,15,0.1242598,0
Airline,150,0.85,0.85,300,High,10,0.06792403124999999,0
FoodDelivery,100,0.9,1.15,100,High,15,0.5403735000000001,0
Retail,200,0.81,0.85,250,Medium,0,0.08606250000000003,0
Airline,200,0.31,1.15,150,Medium,5,0.031045208333333334,1
FoodDelivery,250,0.45,1.15,150,High,15,0.045031124999999984,0
Retail,250,0.13,0.85,200,High,0,0.01,0
Retail,200,0.76,1.0,50,High,20,0.07734900000000001,0
Ecommerce,100,0.37,1.0,250,Low,0,0.04193333333333334,0
Retail,50,0.45,1.15,100,Low,20,0.16220390625000006,0
RideHailing,300,0.98,1.15,300,High,20,0.01,0
RideHailing,200,0.31,0.85,300,Low,10,0.02983844722222223,0
Airline,150,0.26,1.0,50,Low,5,0.0230945,0
Ecommerce,250,0.15,1.15,50,Low,10,0.01,0
Retail,250,0.33,1.15,100,Medium,0,0.014231249999999997,0
Hospitality,300,0.66,0.85,50,Low,15,0.01,0
Airline,150,0.89,1.15,150,Low,0,0.13049624999999998,1
Airline,200,0.13,1.15,50,Low,10,0.01,0
RideHailing,300,0.33,0.85,100,Medium,20,0.01,0
FoodDelivery,200,0.17,0.85,100,Low,20,0.01932446666666667,0
Hospitality,100,0.59,0.85,250,Low,10,0.054207970833333334,0
RideHailing,50,0.24,0.85,250,High,20,0.06343974999999999,0
Airline,200,0.66,1.0,200,High,20,0.089562,0
Airline,50,0.13,1.15,100,Medium,10,0.033948958333333334,0
Airline,200,0.6,0.85,250,High,5,0.051074375,0
Ecommerce,150,0.98,0.85,100,Low,10,0.12862908333333337,1
Hospitality,300,0.12,0.85,100,High,15,0.01,0
Ecommerce,250,0.19,1.0,200,High,0,0.012138888888888885,0
Retail,100,0.53,1.0,100,High,5,0.19107825,0
FoodDelivery,200,0.77,1.15,200,Low,15,0.170857225,1
Hospitality,50,0.39,1.15,150,High,5,0.10480261458333333,1
Airline,300,0.52,0.85,150,Low,0,0.01,0
FoodDelivery,250,0.37,1.0,300,Medium,10,0.03360833333333333,0
Retail,300,0.24,0.85,250,High,20,0.01,0
Ecommerce,150,0.35,1.15,150,Low,5,0.071504125,0
Airline,250,0.28,0.85,50,Medium,15,0.01,0
RideHailing,300,0.28,0.85,250,High,10,0.01,0
RideHailing,150,0.82,0.85,200,Medium,10,0.17410479166666668,0
Retail,300,0.21,0.85,300,Low,0,0.01,0
Ecommerce,300,0.39,1.0,150,Low,0,0.01,0
Airline,300,0.45,1.0,300,High,20,0.01,0
RideHailing,300,0.92,1.15,300,High,0,0.01,0
Retail,300,0.23,1.0,300,Low,5,0.01,0
Airline,200,0.17,0.85,50,Low,20,0.01,0
FoodDelivery,200,0.42,1.15,100,Medium,5,0.067298,0
Airline,100,0.14,0.85,150,Low,10,0.018375583333333338,0
Retail,300,0.65,1.15,50,Medium,15,0.01,0
Airline,200,0.82,1.0,150,High,10,0.08565583333333335,0
RideHailing,300,0.84,1.0,150,High,0,0.01,0
Ecommerce,150,0.75,1.15,200,Low,0,0.1221875,0
Airline,150,0.98,0.85,250,High,20,0.1130381,0
Hospitality,200,0.6,1.0,150,Medium,20,0.06883333333333333,0
Retail,150,0.69,1.0,150,High,20,0.21067424999999995,1
Retail,200,0.26,0.85,100,Low,15,0.021320975000000006,0
RideHailing,200,0.79,1.0,50,High,0,0.08327916666666667,0
FoodDelivery,100,0.54,1.0,100,Medium,5,0.22572,0
Airline,300,0.42,1.15,250,Medium,20,0.01,0
Hospitality,100,0.74,1.0,100,Medium,5,0.18043666666666666,0
FoodDelivery,300,0.54,1.0,300,Low,0,0.01,0
Ecommerce,50,0.45,0.85,200,Medium,10,0.06948750000000002,0
Retail,200,0.22,0.85,150,Medium,10,0.02547875000000001,0
Airline,250,0.4,1.0,50,Low,20,0.010029999999999999,0
Hospitality,200,0.74,1.0,200,Low,10,0.07998783333333333,0
FoodDelivery,200,0.53,0.85,200,High,15,0.11760302500000001,0
RideHailing,100,0.99,0.85,250,Medium,20,0.18204450000000005,0
Hospitality,300,0.26,1.15,250,Low,0,0.01,0
RideHailing,100,0.46,1.0,150,High,5,0.1689126388888889,0
FoodDelivery,50,0.62,1.15,150,Medium,15,0.2697516666666667,0
Ecommerce,250,0.23,1.0,100,High,5,0.01,0
FoodDelivery,300,0.88,1.0,100,Low,5,0.01,0
Ecommerce,100,0.32,1.0,50,High,0,0.0817777777777778,0
Retail,50,0.29,1.0,250,Low,0,0.04621875,0
RideHailing,100,1.0,1.0,50,Low,0,0.25972222222222224,0
FoodDelivery,50,0.18,1.15,50,High,15,0.135093375,0
Ecommerce,300,0.93,1.15,300,Medium,5,0.01,0
Hospitality,250,0.84,1.0,300,High,0,0.046958333333333324,0
Retail,200,0.65,1.15,250,High,15,0.12195929687500001,0
Retail,50,0.59,1.15,200,Medium,5,0.13294359374999998,0
Ecommerce,300,0.66,1.0,50,High,20,0.01,0
Airline,300,0.92,0.85,100,Low,15,0.01,0
FoodDelivery,200,0.53,1.15,300,Medium,5,0.08492366666666668,0
Hospitality,250,0.84,1.15,250,High,0,0.06480249999999997,0
Hospitality,200,0.94,1.0,150,Medium,20,0.10783888888888887,0
FoodDelivery,200,0.7,0.85,200,High,5,0.14300825,0
Airline,100,0.35,1.0,50,Medium,10,0.06358333333333334,0
RideHailing,100,0.82,1.15,50,Medium,20,0.34000388888888894,1
RideHailing,200,0.54,1.15,300,Low,15,0.073224525,1
Airline,150,0.1,1.0,300,Low,15,0.01,0
Retail,100,0.26,0.85,250,Medium,0,0.03315,0
FoodDelivery,200,0.35,1.15,200,High,5,0.096740875,0
Hospitality,200,0.23,1.15,100,Low,0,0.017486388888888888,0
Airline,50,0.3,0.85,300,Low,10,0.0295321875,0
Hospitality,100,0.33,0.85,250,Low,0,0.02781625,0
Hospitality,250,0.71,1.0,300,Low,0,0.02933680555555555,0
RideHailing,300,0.19,1.0,300,Medium,20,0.01,0
FoodDelivery,50,0.64,0.85,50,High,0,0.31279999999999997,0
FoodDelivery,50,0.85,0.85,200,High,20,0.24510812499999995,0
Airline,150,0.58,0.85,100,High,5,0.07405784374999999,0
Airline,300,0.6,1.0,300,Medium,15,0.01,0
FoodDelivery,250,0.67,1.15,50,High,5,0.046297418749999986,0
Retail,200,0.41,1.15,300,Low,15,0.04548796250000001,0
Ecommerce,250,0.76,0.85,50,Medium,20,0.025409333333333325,0
Ecommerce,100,0.81,0.85,250,Medium,15,0.10419300000000002,0
Ecommerce,200,0.37,1.0,250,Medium,0,0.04111111111111112,0
Hospitality,50,0.6,1.15,150,Medium,5,0.14020416666666666,0
Ecommerce,150,0.81,1.15,300,Low,15,0.08986646250000001,0
Retail,100,0.59,0.85,150,Medium,5,0.131016875,0
Ecommerce,150,0.81,1.0,50,High,20,0.14655600000000002,1
Hospitality,100,0.3,1.0,200,Medium,5,0.04876666666666667,0
Retail,250,0.88,1.15,300,Low,20,0.06343974999999999,0
Hospitality,50,0.84,0.85,250,Medium,20,0.12286749999999999,1
Retail,200,0.17,0.85,300,Medium,20,0.017051000000000004,0
Ecommerce,250,0.12,1.0,200,High,10,0.01,0
FoodDelivery,150,0.27,0.85,100,Medium,10,0.06253875,0
Retail,150,0.25,0.85,50,Medium,10,0.034743750000000004,0
RideHailing,50,0.56,1.15,50,Low,15,0.28476204166666674,0
RideHailing,200,0.57,1.15,100,High,20,0.10871831666666665,0
Ecommerce,250,0.42,1.15,200,Medium,20,0.03166333333333332,0
FoodDelivery,300,0.32,1.0,150,Low,20,0.01,0
Airline,250,0.29,0.85,100,Medium,20,0.01,0
Airline,250,0.96,0.85,150,Low,15,0.026241199999999996,0
FoodDelivery,200,0.34,0.85,100,Medium,15,0.04373533333333334,0
RideHailing,100,0.53,0.85,250,Low,5,0.07336204791666666,0
FoodDelivery,50,0.96,0.85,50,Low,0,0.3468,0
FoodDelivery,50,0.86,1.0,200,Low,15,0.20742125000000003,0
Airline,150,0.51,0.85,50,High,20,0.058825949999999995,0
RideHailing,50,0.5,0.85,50,High,10,0.24417135416666666,0
Hospitality,150,0.11,0.85,200,Low,5,0.012111658854166665,0
RideHailing,150,0.97,1.15,150,High,10,0.38452679374999993,0
FoodDelivery,300,0.85,1.0,300,High,15,0.01,0
Retail,50,0.44,1.0,150,Low,15,0.10612250000000004,0
Ecommerce,50,0.68,1.0,300,High,5,0.1361983333333333,0
RideHailing,200,0.53,1.0,300,Low,20,0.06497211111111112,0
RideHailing,100,0.22,1.15,50,Medium,0,0.07730555555555557,0
Hospitality,300,0.5,0.85,100,Medium,15,0.01,0
FoodDelivery,200,0.28,1.0,50,Low,10,0.025942000000000007,0
Ecommerce,50,0.33,1.15,100,Low,20,0.10573291666666668,0
Ecommerce,300,0.76,1.15,200,High,10,0.01,0
RideHailing,250,0.76,1.0,250,Low,15,0.06721091666666665,0
Hospitality,200,0.76,1.15,250,Low,0,0.07222638888888888,0
Ecommerce,150,0.24,1.0,200,High,0,0.04599999999999999,0
Airline,100,0.11,0.85,200,Low,10,0.011550366666666671,0
Hospitality,100,0.69,0.85,100,Low,10,0.12679152500000002,0
Retail,250,0.58,1.0,100,Medium,5,0.022728749999999992,0
Retail,300,0.28,1.0,250,Low,15,0.01,0
Hospitality,300,0.89,0.85,100,High,20,0.01,0
Airline,300,0.63,0.85,300,Low,20,0.01,0
Ecommerce,200,0.26,0.85,200,Low,15,0.028427966666666672,0
Hospitality,250,0.62,1.15,200,Medium,5,0.03621940972222221,0
Hospitality,200,0.84,0.85,300,High,20,0.07535873333333334,0
Airline,300,0.29,1.15,250,Medium,0,0.01,0
Airline,200,0.16,1.15,150,Low,15,0.014792833333333335,0
Retail,50,0.67,1.15,150,High,15,0.25142378125000003,0
Retail,100,0.63,0.85,200,Low,5,0.09513157500000002,0
FoodDelivery,150,0.12,1.0,300,Low,0,0.0153,0
Hospitality,250,0.15,1.15,300,Medium,10,0.01,0
FoodDelivery,200,0.82,1.0,250,Medium,5,0.14281666666666668,1
Airline,150,0.49,0.85,200,Medium,0,0.0520625,0
RideHailing,200,0.22,1.15,200,Low,15,0.044748320833333334,1
RideHailing,100,0.35,1.15,150,High,15,0.16052762152777778,0
Airline,300,0.49,0.85,250,Medium,15,0.01,0
RideHailing,150,0.16,1.0,150,Low,20,0.044132,0
Retail,150,0.41,1.15,100,High,15,0.11539225781249998,0
FoodDelivery,100,0.85,1.0,50,Low,5,0.25167083333333334,0
FoodDelivery,150,0.75,0.85,50,High,10,0.15982125000000003,0
RideHailing,50,0.26,0.85,100,Low,15,0.08143427951388892,0
Retail,300,0.61,0.85,250,Low,5,0.01,0
Hospitality,50,0.81,0.85,50,Medium,5,0.20984906250000002,0
FoodDelivery,250,0.95,0.85,100,Medium,5,0.04219187499999998,0
Hospitality,250,0.77,1.15,300,High,5,0.051729495659722215,0
Hospitality,50,0.28,1.15,250,Medium,15,0.05329770833333333,0
Ecommerce,250,0.69,1.0,150,Low,0,0.026066666666666665,0
RideHailing,100,0.6,1.0,50,Medium,10,0.1998333333333334,0
Retail,100,0.55,1.0,200,High,0,0.12650000000000003,0
Hospitality,150,0.5,1.15,200,Medium,15,0.09517447916666666,0
RideHailing,250,0.67,1.15,50,High,5,0.04243930052083331,0
RideHailing,300,0.81,1.15,150,Low,10,0.01,0
Hospitality,300,0.23,0.85,250,High,20,0.01,0
Ecommerce,300,0.18,0.85,200,High,0,0.01,0
FoodDelivery,250,0.75,1.0,200,Medium,5,0.06531249999999998,0
Hospitality,250,0.6,0.85,200,Low,15,0.023917760416666663,0
Ecommerce,300,0.76,0.85,200,Low,0,0.01,0
Airline,300,0.74,0.85,150,Medium,15,0.01,0
FoodDelivery,100,0.84,1.0,100,Low,15,0.324156,0
Ecommerce,50,0.32,1.0,50,High,5,0.12818666666666664,0
Retail,300,0.76,1.15,300,High,10,0.01,0
RideHailing,250,0.71,1.0,150,High,0,0.049897222222222204,0
Retail,150,0.72,0.85,300,High,20,0.09342944999999997,1
FoodDelivery,250,0.69,1.0,200,Low,0,0.04887499999999999,0
FoodDelivery,100,0.69,1.0,150,High,10,0.28830500000000003,1
Ecommerce,300,0.3,0.85,300,High,10,0.01,0
Ecommerce,150,0.48,0.85,300,Medium,0,0.0408,0
Hospitality,150,0.78,0.85,200,Low,0,0.082184375,0
Retail,200,0.67,1.0,300,Low,20,0.06720100000000002,0
Retail,300,0.14,0.85,200,Low,10,0.01,0
Retail,150,0.76,0.85,200,High,15,0.15809840625,0
Airline,50,0.4,1.0,50,High,20,0.1357,0
Ecommerce,200,0.62,1.0,100,Low,20,0.05527644444444446,0
RideHailing,250,0.64,0.85,250,Low,0,0.042386666666666656,0
RideHailing,150,0.85,0.85,250,High,15,0.17289123958333333,0
Ecommerce,50,0.41,0.85,300,Low,10,0.05381420833333334,0
Retail,250,0.68,1.15,200,Medium,15,0.055473124999999984,0
Ecommerce,200,0.96,1.0,150,High,0,0.12266666666666667,0
Ecommerce,300,0.9,1.0,50,Low,15,0.01,0
Hospitality,150,0.35,0.85,50,Low,20,0.03481245833333333,0
Ecommerce,150,0.5,0.85,250,Low,0,0.04816666666666668,1
Ecommerce,150,0.86,0.85,100,High,20,0.16532783333333329,0
Ecommerce,100,0.36,1.0,50,Low,20,0.08024000000000002,0
Retail,250,0.41,1.15,50,High,20,0.02399345624999999,0
Ecommerce,150,0.51,1.15,300,Low,0,0.0498525,0
Hospitality,200,0.89,0.85,250,Low,15,0.07095602256944446,0
Retail,250,0.75,1.0,250,Low,10,0.052115625,1
Ecommerce,250,0.85,0.85,200,Medium,5,0.04194513888888888,0
Ecommerce,50,0.51,1.0,250,High,15,0.11094624999999998,0
Retail,50,0.46,1.15,50,High,5,0.23839715624999996,0
Retail,100,0.43,1.15,250,Medium,5,0.077512875,0
Retail,50,0.24,1.15,200,Medium,10,0.0564075,0
FoodDelivery,300,0.85,1.0,100,Low,0,0.01,0
Hospitality,150,0.54,0.85,100,Low,20,0.06713831249999999,0
Retail,50,0.16,0.85,300,High,5,0.030644624999999995,0
FoodDelivery,50,0.38,1.0,300,Medium,10,0.10355,0
RideHailing,50,0.49,1.15,100,High,0,0.2475095486111111,1
RideHailing,50,0.57,1.0,200,Low,15,0.12602046875,1
Retail,50,0.95,1.15,250,Medium,15,0.23249765624999996,0
Hospitality,150,0.45,1.15,300,High,0,0.05207343749999999,0
FoodDelivery,100,0.86,1.0,50,High,15,0.3741716666666667,1
Airline,250,0.31,1.15,150,High,20,0.016125683333333328,0
Hospitality,300,0.13,1.15,100,High,5,0.01,0
FoodDelivery,250,0.36,0.85,100,Low,20,0.015345899999999994,0
FoodDelivery,150,0.9,1.0,200,Low,0,0.19125000000000003,1
Hospitality,300,0.45,0.85,300,Low,20,0.01,0
FoodDelivery,100,0.25,0.85,150,High,10,0.08878958333333335,0
Airline,250,0.28,0.85,250,Medium,15,0.013506499999999998,0
Hospitality,200,0.41,1.15,250,High,20,0.06220525694444444,0
Hospitality,200,0.46,0.85,150,Medium,0,0.03801388888888889,0
Hospitality,250,0.76,0.85,50,Low,15,0.01817749791666666,0
Hospitality,250,0.64,1.0,250,High,15,0.04872933333333332,1
Ecommerce,150,0.59,0.85,50,Low,5,0.05939431666666667,0
Retail,150,0.52,1.0,100,Medium,10,0.10627500000000001,0
Hospitality,150,0.93,1.15,100,Low,10,0.14450504687500001,0
Hospitality,100,0.5,1.15,200,High,20,0.12137611111111112,0
Retail,200,0.1,0.85,50,Low,10,0.01,0
Hospitality,150,0.13,1.15,300,Low,5,0.011619420312499998,0
FoodDelivery,300,0.75,1.0,100,Medium,20,0.01,0
Airline,50,0.35,1.0,50,Medium,10,0.095375,0
Airline,50,0.18,1.0,150,Low,15,0.028942500000000003,0
Retail,250,0.11,0.85,200,Low,0,0.01,0
Airline,50,0.75,1.0,200,Medium,10,0.10218750000000001,0
Hospitality,300,0.83,0.85,100,Low,20,0.01,0
Ecommerce,100,0.17,1.15,100,Medium,15,0.05917133333333335,0
RideHailing,100,0.17,0.85,200,Medium,10,0.038501222222222235,0
Ecommerce,300,0.34,1.0,250,High,20,0.01,0
Retail,50,0.3,0.85,250,High,20,0.06488156249999999,0
Retail,300,0.27,1.15,300,Medium,5,0.01,0
Ecommerce,200,0.67,1.0,300,Medium,15,0.06759555555555558,0
FoodDelivery,300,0.61,0.85,150,High,5,0.01,0
Ecommerce,100,0.22,1.0,150,Low,15,0.04716555555555557,0
Retail,50,0.56,1.0,100,Medium,0,0.17500000000000002,1
Airline,50,0.41,0.85,250,High,0,0.05009687499999999,0
Hospitality,50,0.86,1.0,150,Low,10,0.1549313888888889,0
RideHailing,150,0.18,1.0,100,Low,0,0.0350625,0
Retail,100,0.23,0.85,250,High,20,0.039794025000000004,0
RideHailing,150,0.96,1.15,50,Medium,0,0.20240000000000002,1
